id,sentence,gen_time_s,audio_dur_s,rtf,speaker_sim,quality_score,wer,precision,recall,f1
23,"Machine learning models require large am",96.15,9.18,10.468,0.9947,0.38,None,0.0,0.0,0.0
24,"Deep learning has revolutionized compute",28.44,4.92,5.782,0.992,0.506,None,0.0,0.0,0.0
25,"Natural language processing enables huma",35.84,6.17,5.812,0.9834,0.592,None,0.0,0.0,0.0
26,"The sun rises in the east and sets in th",24.51,4.17,5.876,0.9883,0.624,None,0.0,0.0,0.0
27,"Water boils at one hundred degrees Celsi",23.03,3.94,5.85,0.9882,0.591,None,0.0,0.0,0.0
28,"The human body contains approximately th",28.99,4.86,5.96,0.976,0.388,None,0.0,0.0,0.0
29,"Mount Everest is the highest peak in the",24.86,4.27,5.825,0.9894,0.545,None,0.0,0.0,0.0
30,"The Amazon River is the largest river by",23.82,3.99,5.97,0.9788,0.629,None,0.0,0.0,0.0
31,"I enjoy reading books on science and phi",38.39,6.64,5.785,0.9961,0.563,None,0.0,0.0,0.0
32,"Music has the power to change your mood ",27.1,4.22,6.414,0.989,0.535,None,0.0,0.0,0.0
33,"Exercise regularly to maintain good heal",1080.84,5.47,197.499,0.985,0.375,None,0.0,0.0,0.0
34,"A balanced diet includes proteins, carbo",38.11,5.65,6.74,0.9822,0.46,None,0.0,0.0,0.0
35,"Sleep is essential for memory consolidat",44.13,6.36,6.941,0.9884,0.508,None,0.0,0.0,0.0
36,"The project deadline is approaching very",43.25,7.01,6.17,0.9973,0.389,None,0.0,0.0,0.0
37,"We should review the code before the fin",29.72,4.54,6.539,0.9878,0.504,None,0.0,0.0,0.0
38,"Please make sure to save your work frequ",22.51,3.76,5.994,0.9851,0.481,None,0.0,0.0,0.0
39,"The database needs to be updated with ne",26.08,4.54,5.739,0.9876,0.475,None,0.0,0.0,0.0
40,"Security vulnerabilities must be patched",29.03,5.1,5.692,0.9838,0.43,None,0.0,0.0,0.0
41,"One two three four five six seven eight ",46.13,7.8,5.916,0.9615,0.266,None,0.0,0.0,0.0
42,"The year two thousand and twenty five wa",19.51,3.34,5.844,0.9849,0.557,None,0.0,0.0,0.0
43,"She was born on the fifteenth of August.",168.07,3.06,54.89,0.9891,0.479,None,0.0,0.0,0.0
44,"The price increased by twenty three perc",29.71,4.78,6.217,0.9956,0.482,None,0.0,0.0,0.0
45,"There are approximately eight billion pe",27.29,4.13,6.609,0.9841,0.52,None,0.0,0.0,0.0
46,"Good morning everyone, welcome to today'",32.56,4.82,6.752,0.9884,0.426,None,0.0,0.0,0.0
47,"Thank you for your patience and understa",26.43,4.45,5.941,0.9897,0.62,None,0.0,0.0,0.0
48,"I sincerely apologize for the inconvenie",21.97,3.99,5.505,0.9806,0.484,None,0.0,0.0,0.0
49,"Congratulations on your outstanding achi",28.37,5.2,5.461,0.9902,0.612,None,0.0,0.0,0.0
50,"Have a wonderful day and take care of yo",24.14,4.45,5.427,0.9932,0.455,None,0.0,0.0,0.0
51,"The cat sat on the mat near the window.",25.95,4.64,5.591,0.9901,0.456,None,0.0,0.0,0.0
52,"Birds fly south during the cold winter m",21.77,3.85,5.653,0.9885,0.457,None,0.0,0.0,0.0
53,"Children love playing in the park on sun",25.69,4.73,5.436,0.991,0.556,None,0.0,0.0,0.0
54,"The old library had thousands of interes",21.96,3.71,5.915,0.9829,0.479,None,0.0,0.0,0.0
55,"Fresh fruits and vegetables are good for",20.22,3.42,5.903,0.9872,0.324,None,0.0,0.0,0.0
56,"The engineer designed a new bridge over ",19.3,3.24,5.949,0.9747,0.63,None,0.0,0.0,0.0
57,"Scientists discovered a new species in t",27.56,4.64,5.939,0.987,0.508,None,0.0,0.0,0.0
58,"The chef prepared a delicious meal for t",21.26,3.66,5.811,0.9928,0.371,None,0.0,0.0,0.0
59,"Students gathered in the hall for the an",36.23,6.08,5.959,0.9815,0.583,None,0.0,0.0,0.0
60,"The pilot landed the aircraft safely on ",34.35,5.47,6.276,0.9824,0.408,None,0.0,0.0,0.0
61,"Innovation drives progress in modern soc",26.82,4.78,5.611,0.9912,0.562,None,0.0,0.0,0.0
62,"Collaboration leads to better outcomes i",29.47,5.2,5.673,0.9859,0.427,None,0.0,0.0,0.0
63,"Patience is a virtue that everyone shoul",22.15,3.85,5.75,0.9848,0.463,None,0.0,0.0,0.0
64,"Creativity is the foundation of artistic",38.95,5.94,6.556,0.9935,0.349,None,0.0,0.0,0.0
65,"Knowledge is power when applied with wis",39.65,5.61,7.066,0.9836,0.493,None,0.0,0.0,0.0
66,"The conference call starts at nine in th",34.1,4.82,7.072,0.993,0.396,None,0.0,0.0,0.0
67,"Please review the attached document and ",29.74,5.2,5.724,0.9779,0.547,None,0.0,0.0,0.0
68,"The server is down and needs immediate a",26.32,4.36,6.032,0.9899,0.517,None,0.0,0.0,0.0
69,"Our team successfully completed the spri",27.03,4.64,5.825,0.9907,0.352,None,0.0,0.0,0.0
70,"The client was satisfied with the final ",24.87,4.31,5.769,0.9852,0.524,None,0.0,0.0,0.0
71,"Can we schedule a meeting for later this",18.57,3.1,5.982,0.9794,0.714,None,0.0,0.0,0.0
72,"The temperature dropped significantly ov",39.15,5.65,6.924,0.9893,0.437,None,0.0,0.0,0.0
73,"Heavy rainfall is expected throughout th",28.4,4.36,6.508,0.9898,0.476,None,0.0,0.0,0.0
74,"The storm caused widespread power outage",41.28,6.59,6.262,0.9809,0.379,None,0.0,0.0,0.0
75,"Rescue teams worked tirelessly to help t",39.26,5.15,7.619,0.9843,0.409,None,0.0,0.0,0.0
76,"Emergency services responded quickly to ",29.73,4.78,6.22,0.9775,0.446,None,0.0,0.0,0.0
77,"The stock market showed strong gains thi",26.46,3.94,6.72,0.991,0.336,None,0.0,0.0,0.0
78,"Investors are optimistic about the econo",37.85,4.64,8.156,0.9799,0.495,None,0.0,0.0,0.0
79,"The company reported record profits for ",35.57,5.2,6.846,0.9831,0.409,None,0.0,0.0,0.0
80,"New regulations will impact the financia",35.61,5.52,6.457,0.9868,0.535,None,0.0,0.0,0.0
81,"Consumer spending increased significantl",30.3,4.59,6.605,0.9864,0.412,None,0.0,0.0,0.0
82,"The film received critical acclaim from ",24.22,3.89,6.22,0.9907,0.692,None,0.0,0.0,0.0
83,"The author published her third novel thi",25.14,3.76,6.693,0.9873,0.545,None,0.0,0.0,0.0
84,"The concert was attended by thousands of",21.56,3.52,6.124,0.9816,0.569,None,0.0,0.0,0.0
85,"The art exhibition showcased works from ",24.27,3.71,6.536,0.982,0.419,None,0.0,0.0,0.0
86,"The museum opened a new wing dedicated t",40.87,6.26,6.526,0.991,0.71,None,0.0,0.0,0.0
87,"She spoke confidently during the entire ",33.5,5.06,6.625,0.9927,0.452,None,0.0,0.0,0.0
88,"He carefully analyzed the data before co",44.95,6.59,6.818,0.9981,0.546,None,0.0,0.0,0.0
89,"They collaborated effectively to solve t",30.13,4.64,6.493,0.9818,0.544,None,0.0,0.0,0.0
90,"The team worked late into the night to m",27.08,4.22,6.41,0.9786,0.567,None,0.0,0.0,0.0
91,"Everyone contributed their best efforts ",35.03,5.1,6.869,0.979,0.415,None,0.0,0.0,0.0
92,"In the morning I wake up and have breakf",25.3,3.89,6.496,0.9878,0.589,None,0.0,0.0,0.0
93,"After lunch I usually take a short walk ",28.43,4.86,5.845,0.987,0.495,None,0.0,0.0,0.0
94,"In the evening the family gathers for di",21.46,3.52,6.095,0.9788,0.52,None,0.0,0.0,0.0
95,"Before sleeping I like to read for thirt",27.18,4.68,5.803,0.9873,0.426,None,0.0,0.0,0.0
96,"On weekends we visit family and friends ",28.4,4.96,5.725,0.9797,0.548,None,0.0,0.0,0.0
97,"This is a test of the voice cloning syst",25.61,4.45,5.756,0.9918,0.397,None,0.0,0.0,0.0
98,"The system should reproduce my voice acc",23.39,3.99,5.862,0.9928,0.393,None,0.0,0.0,0.0
99,"Voice cloning technology has advanced si",28.8,4.92,5.857,0.9816,0.481,None,0.0,0.0,0.0
100,"This evaluation will measure the quality",32.93,5.8,5.674,0.9866,0.519,None,0.0,0.0,0.0
